点数：12290
xmin:497110.02999878
xmax:497173.02999878
ymin:5419282.0
ymax:5419342.0
zmin:262.38000488
zmax:280.38000488

第一个格网单元(0,0,0)的点个数：0
第一个点的候选点数目：70
第一个点的k个点序号：[8248, 2, 12, 3, 10, 11]
所有点的邻域点平均距离均值: 0.7272960053894515
所有点的邻域点距离标准差均值: 0.1709730879529831
滤波后的点数: 11731
497125.87999725 5419288.5 269.29000854
497126.62000275 5419288.5 269.51000977
497126.66000366 5419289.0 269.41000366
497127.22000122 5419301.0 268.64001465
497127.22000122 5419301.5 268.54000854
497129.11999512 5419341.0 265.88000488
497129.66000366 5419339.5 265.51998901
497129.55999756 5419337.0 265.6000061
497129.52999878 5419336.5 265.63000488
497129.5 5419336.0 265.70001221
497129.5 5419335.5 265.70001221
497129.47000122 5419335.5 265.72000122
497129.44000244 5419335.0 265.73001099
497128.05999756 5419304.5 267.82998657
497127.87999725 5419301.0 268.29998779
497128.02999878 5419288.5 269.22000122
497128.08999634 5419289.5 269.26000977
497128.66000366 5419301.0 268.39001465
497129.30999756 5419301.0 268.26998901
497129.02999878 5419295.0 268.94000244
497129.44000244 5419289.0 269.32000732
497129.47000122 5419289.5 269.25
497129.5 5419290.0 269.26000977
497129.52999878 5419290.5 269.29000854
497129.94000244 5419299.0 268.82000732
497129.97000122 5419300.0 268.75
497131.22000122 5419325.5 266.82000732
497131.25 5419326.0 266.92001343
497131.52999878 5419332.0 266.51000977
497131.80999756 5419325.0 266.73001099
497130.22000122 5419291.0 268.95001221
497130.19000244 5419290.5 269.1000061
497130.16000366 5419290.0 269.13000488
497130.16000366 5419289.5 269.20001221
497130.11999512 5419289.0 269.20001221
497132.38000488 5419319.5 266.39001465
497132.41000366 5419320.0 266.35998535
497132.44000244 5419320.0 266.3500061
497132.47000122 5419320.5 266.32000732
497132.47000122 5419321.0 266.29000854
497132.5 5419321.5 266.26000977
497132.52999878 5419322.0 266.23001099
497132.52999878 5419322.5 266.23001099
497132.55999756 5419323.0 266.17001343
497132.58999634 5419323.5 266.14001465
497132.58999634 5419324.0 266.13000488
497133.05999756 5419321.0 266.32000732
497133.02999878 5419320.5 266.3500061
497133.02999878 5419320.0 266.39001465
497133.0 5419319.5 266.41000366
497132.97000122 5419319.0 266.42001343
497132.97000122 5419318.5 266.44000244
497132.94000244 5419318.0 266.48001099
497132.91000366 5419317.5 266.48001099
497134.08999634 5419327.0 266.07998657
497134.75 5419327.5 266.07998657
497134.72000122 5419327.0 266.10998535
497135.47000122 5419327.0 266.14001465
497135.5 5419327.0 266.07998657
497135.52999878 5419327.5 266.1000061
497135.52999878 5419328.0 266.07000732
497136.22000122 5419329.0 266.20001221
497136.19000244 5419328.5 266.20001221
497136.19000244 5419328.5 266.20001221
497136.16000366 5419328.0 266.20001221
497136.16000366 5419327.5 266.23001099
497136.11999512 5419327.0 266.23001099
497137.52999878 5419328.0 266.01000977
497137.5 5419327.5 266.04998779
497137.47000122 5419327.0 266.07998657
497138.25 5419327.0 265.8500061
497138.27999878 5419327.5 265.79998779
497138.27999878 5419328.0 266.07000732
497138.27999878 5419328.5 266.35998535
497138.41000366 5419331.0 266.32000732
497139.33999634 5419339.0 266.8500061
497139.33999634 5419339.0 266.25
497138.88000488 5419327.5 265.73001099
497138.83999634 5419327.0 265.75
497137.33999634 5419283.5 268.82000732
497137.5 5419286.0 268.88000488
497139.16000366 5419318.5 265.98001099
497139.19000244 5419319.0 265.95001221
497139.19000244 5419319.0 265.98001099
497139.25 5419320.0 265.82998657
497139.27999878 5419320.5 265.76998901
497139.27999878 5419321.0 265.75
497139.30999756 5419321.5 265.73001099
497139.33999634 5419322.0 265.69000244
497139.38000488 5419322.5 265.70001221
497139.38000488 5419323.0 265.69000244
497139.41000366 5419323.5 265.70001221
497139.44000244 5419324.0 265.67001343
497139.44000244 5419324.5 265.69000244
497139.47000122 5419325.0 265.69000244
497139.5 5419325.5 265.67001343
497139.52999878 5419325.5 265.69000244
497139.52999878 5419326.0 265.67001343
497139.55999756 5419326.5 265.64001465
497139.58999634 5419327.0 265.64001465
497139.58999634 5419327.5 265.63000488
497140.11999512 5419339.0 266.41000366
497140.22000122 5419329.0 266.32000732
497140.19000244 5419328.5 266.14001465
497140.19000244 5419328.0 266.04000854
497140.16000366 5419327.5 266.0
497140.16000366 5419327.5 265.73001099
497140.11999512 5419327.0 265.72000122
497140.11999512 5419326.5 265.72000122
497140.08999634 5419326.0 265.70001221
497140.05999756 5419325.5 265.57998657
497140.05999756 5419325.0 265.64001465
497140.02999878 5419324.5 265.76998901
497140.0 5419324.0 265.64001465
497140.0 5419323.5 265.64001465
497139.97000122 5419323.5 265.64001465
497139.97000122 5419323.0 265.64001465
497139.94000244 5419322.5 265.64001465
497139.91000366 5419322.0 265.60998535
497139.91000366 5419321.5 265.64001465
497139.83999634 5419320.5 265.67001343
497139.80999756 5419320.0 265.69000244
497139.75 5419318.5 265.88000488
497139.72000122 5419318.0 265.89001465
497139.69000244 5419317.5 265.91000366
497139.66000366 5419317.0 265.94000244
497139.66000366 5419316.5 266.01998901
497139.61999512 5419316.0 266.22000122
497139.58999634 5419315.5 266.3500061
497139.55999756 5419315.0 266.6000061
497138.25 5419289.0 268.75
497138.66000366 5419284.0 269.5
497138.69000244 5419284.5 269.60998535
497140.30999756 5419315.0 266.07000732
497140.30999756 5419315.5 266.1000061
497140.33999634 5419316.0 266.07000732
497140.38000488 5419316.5 265.82000732
497140.41000366 5419317.0 265.79000854
497140.44000244 5419317.5 265.76000977
497140.47000122 5419318.0 265.73001099
497140.47000122 5419318.5 265.73001099
497140.69000244 5419323.0 265.69000244
497140.75 5419324.5 265.88000488
497140.77999878 5419325.0 265.75
497140.77999878 5419325.0 266.04000854
497140.83999634 5419325.5 265.57000732
497140.94000244 5419327.5 265.57998657
497140.94000244 5419328.0 265.63000488
497141.0 5419317.0 265.66000366
497140.97000122 5419316.5 265.67001343
497140.94000244 5419316.0 265.66000366
497140.94000244 5419315.5 265.76000977
497140.88000488 5419315.0 266.13000488
497139.33999634 5419284.5 269.17001343
497139.30999756 5419284.0 269.47000122
497139.27999878 5419283.5 269.51000977
497139.27999878 5419283.5 269.19000244
497139.97000122 5419284.0 269.51000977
497141.61999512 5419315.0 265.6000061
497141.61999512 5419315.0 265.60998535
497141.66000366 5419315.5 265.64001465
497141.69000244 5419316.0 265.64001465
497141.69000244 5419316.5 265.64001465
497141.72000122 5419317.0 265.64001465
497141.75 5419317.5 265.67001343
497141.77999878 5419318.0 265.70001221
497141.77999878 5419318.5 265.69000244
497141.80999756 5419319.0 265.69000244
497142.44000244 5419320.0 265.66000366
497142.41000366 5419319.5 265.63000488
497142.41000366 5419319.5 265.64001465
497142.38000488 5419319.0 265.64001465
497142.33999634 5419318.5 265.64001465
497142.30999756 5419318.0 265.64001465
497142.30999756 5419317.5 265.64001465
497142.27999878 5419317.0 265.64001465
497142.25 5419316.5 265.67001343
497142.25 5419316.0 265.66000366
497142.22000122 5419315.5 265.64001465
497142.19000244 5419315.0 265.63000488
497142.91000366 5419315.0 265.6000061
497142.91000366 5419315.5 265.67001343
497142.94000244 5419316.0 265.64001465
497142.97000122 5419316.5 265.66000366
497142.97000122 5419316.5 265.64001465
497143.0 5419317.0 265.67001343
497143.02999878 5419317.5 265.66000366
497143.02999878 5419318.0 265.64001465
497143.05999756 5419318.5 265.66000366
497143.08999634 5419319.0 265.64001465
497143.11999512 5419319.5 265.67001343
497143.11999512 5419320.0 265.64001465
497143.16000366 5419320.5 265.66000366
497143.75 5419321.5 265.64001465
497143.75 5419321.0 265.64001465
497143.72000122 5419320.5 265.63000488
497143.69000244 5419320.0 265.63000488
497143.69000244 5419319.5 265.64001465
497143.66000366 5419319.0 265.64001465
497143.61999512 5419318.5 265.64001465
497143.61999512 5419318.5 265.66000366
497143.58999634 5419318.0 265.67001343
497143.55999756 5419317.5 265.67001343
497143.55999756 5419317.0 265.64001465
497143.52999878 5419316.5 265.63000488
497143.52999878 5419316.0 265.63000488
497143.5 5419315.5 265.64001465
497143.47000122 5419315.0 265.60998535
497144.22000122 5419315.0 265.60998535
497144.25 5419315.5 265.63000488
497144.27999878 5419316.0 265.66000366
497144.27999878 5419316.5 265.64001465
497144.30999756 5419316.5 265.64001465
497144.33999634 5419317.0 265.64001465
497144.38000488 5419317.5 265.63000488
497144.38000488 5419318.0 265.64001465
497144.41000366 5419318.5 265.60998535
497144.44000244 5419319.0 265.64001465
497144.44000244 5419319.5 265.64001465
497144.47000122 5419320.0 265.64001465
497144.5 5419320.5 265.64001465
497144.5 5419321.0 265.63000488
497144.52999878 5419321.5 265.60998535
497145.05999756 5419321.5 265.64001465
497145.02999878 5419321.0 265.60998535
497145.02999878 5419320.5 265.60998535
497145.0 5419320.0 265.63000488
497144.97000122 5419320.0 265.63000488
497144.94000244 5419319.5 265.63000488
497144.94000244 5419319.0 265.67001343
497144.91000366 5419318.5 265.64001465
497144.88000488 5419318.0 265.66000366
497144.88000488 5419317.5 265.64001465
497144.80999756 5419316.0 265.54998779
497144.77999878 5419315.5 265.6000061
497144.38000488 5419308.5 267.29998779
497144.38000488 5419308.5 267.29000854
497145.05999756 5419308.5 267.29000854
497145.55999756 5419317.5 265.67001343
497145.58999634 5419318.0 265.64001465
497145.61999512 5419318.5 265.64001465
497145.61999512 5419318.5 265.66000366
497145.66000366 5419319.0 265.67001343
497145.69000244 5419319.5 265.64001465
497145.72000122 5419320.0 265.63000488
497145.72000122 5419320.5 265.64001465
497145.75 5419321.0 265.60998535
497145.75 5419321.5 266.14001465
497146.30999756 5419321.5 265.64001465
497146.30999756 5419321.0 265.60998535
497146.27999878 5419320.5 265.63000488
497146.25 5419320.0 265.64001465
497146.25 5419319.5 265.66000366
497146.22000122 5419319.5 265.64001465
497146.19000244 5419319.0 265.64001465
497146.19000244 5419318.5 265.67001343
497146.16000366 5419318.0 265.66000366
497146.11999512 5419317.5 265.66000366
497146.83999634 5419317.5 265.67001343
497146.88000488 5419318.0 265.67001343
497146.88000488 5419318.5 265.66000366
497146.91000366 5419319.0 265.66000366
497146.94000244 5419319.5 265.66000366
497146.97000122 5419320.0 265.66000366
497146.97000122 5419320.5 265.64001465
497147.0 5419321.0 265.6000061
497147.02999878 5419321.5 265.6000061
497147.0 5419321.5 266.51998901
497147.05999756 5419322.0 265.66000366
497147.58999634 5419322.5 266.48001099
497147.61999512 5419322.5 265.79000854
497147.58999634 5419322.0 265.70001221
497147.52999878 5419320.5 265.63000488
497147.5 5419320.0 265.66000366
497147.5 5419319.5 265.67001343
497147.47000122 5419319.0 265.66000366
497147.44000244 5419318.5 265.64001465
497147.44000244 5419318.0 265.66000366
497147.41000366 5419318.0 265.64001465
497148.27999878 5419322.5 267.0
497148.30999756 5419323.0 267.10998535
497148.30999756 5419323.5 267.39001465
497148.88000488 5419323.5 267.01000977
497148.88000488 5419323.0 266.64001465
497149.19000244 5419316.0 266.79000854
497151.38000488 5419324.0 266.20001221
497151.25 5419321.5 266.29000854
497152.11999512 5419324.0 266.32000732
497152.61999512 5419324.0 266.57998657
497152.94000244 5419316.5 266.45001221
497153.0 5419318.0 266.6000061
497153.5 5419316.5 266.54998779
497154.0 5419312.5 265.8500061
497154.02999878 5419313.0 265.89001465
497154.27999878 5419319.0 266.42001343
497154.77999878 5419318.5 266.72000122
497154.61999512 5419314.0 265.82998657
497154.58999634 5419313.5 265.82998657
497154.55999756 5419313.0 265.8500061
497154.52999878 5419312.5 265.8500061
497154.52999878 5419312.0 265.82998657
497154.5 5419311.5 265.8500061
497154.47000122 5419311.0 265.89001465
497155.05999756 5419310.0 265.79998779
497155.08999634 5419310.5 265.79000854
497155.11999512 5419311.0 265.82000732
497155.11999512 5419311.5 265.82000732
497155.16000366 5419312.0 265.82000732
497155.19000244 5419312.5 265.8500061
497155.22000122 5419313.0 265.82000732
497155.22000122 5419313.5 265.82000732
497155.25 5419314.0 265.82000732
497155.83999634 5419314.5 265.76000977
497155.83999634 5419314.0 265.79998779
497155.80999756 5419313.5 265.82000732
497155.77999878 5419313.5 265.79998779
497155.75 5419313.0 265.82000732
497155.75 5419312.5 265.70001221
497155.72000122 5419312.0 265.79000854
497155.69000244 5419311.5 265.82000732
497155.69000244 5419311.0 265.79000854
497155.66000366 5419310.5 265.76000977
497155.66000366 5419310.0 265.76000977
497155.61999512 5419310.0 265.79998779
497155.58999634 5419309.5 265.8500061
497155.11999512 5419289.0 269.01000977
497155.16000366 5419289.5 269.01998901
497156.27999878 5419309.0 265.8500061
497156.30999756 5419309.5 265.82000732
497156.33999634 5419310.0 265.76998901
497156.33999634 5419310.5 265.75
497156.38000488 5419311.0 265.72000122
497156.44000244 5419311.5 265.20001221
497156.44000244 5419312.0 265.14001465
497156.47000122 5419312.5 265.07000732
497156.47000122 5419313.0 265.79000854
497156.5 5419313.0 265.79000854
497156.5 5419313.5 265.79998779
497156.52999878 5419314.0 265.79998779
497156.77999878 5419320.0 266.41000366
497157.27999878 5419320.0 266.45001221
497157.25 5419319.5 266.39001465
497157.19000244 5419318.5 266.8500061
497157.16000366 5419317.5 266.89001465
497157.08999634 5419316.0 266.01000977
497157.0 5419314.0 265.79000854
497157.0 5419313.5 265.79000854
497156.97000122 5419313.0 265.82000732
497156.94000244 5419312.5 265.75
497156.94000244 5419311.5 264.76000977
497156.88000488 5419311.0 265.85998535
497156.88000488 5419311.0 265.73001099
497156.83999634 5419310.5 265.79000854
497156.80999756 5419310.0 265.79998779
497156.77999878 5419309.5 265.79998779
497156.77999878 5419309.0 265.82000732
497157.33999634 5419308.5 265.8500061
497157.38000488 5419309.0 265.79000854
497157.41000366 5419309.5 265.79998779
497157.44000244 5419310.0 265.79000854
497157.47000122 5419310.5 265.76000977
497157.47000122 5419311.0 265.70001221
497157.55999756 5419312.5 265.79000854
497157.58999634 5419313.0 265.79000854
497157.61999512 5419313.5 265.79000854
497157.61999512 5419314.0 265.79000854
497157.66000366 5419314.5 265.76000977
497158.27999878 5419315.5 265.67001343
497158.19000244 5419314.0 265.76998901
497158.16000366 5419313.5 265.79000854
497158.16000366 5419313.0 265.79998779
497158.11999512 5419312.5 265.76000977
497158.19000244 5419312.0 264.17001343
497158.16000366 5419312.0 264.16000366
497158.05999756 5419311.0 265.79998779
497158.02999878 5419311.0 265.70001221
497158.02999878 5419310.5 265.76000977
497158.0 5419310.0 265.79000854
497157.97000122 5419309.5 265.79998779
497157.94000244 5419309.0 265.79998779
497158.5 5419308.5 265.88000488
497158.52999878 5419308.5 265.88000488
497158.55999756 5419309.0 265.82998657
497158.58999634 5419309.5 265.82000732
497158.58999634 5419310.0 265.79000854
497158.61999512 5419310.5 265.73001099
497158.66000366 5419311.0 265.70001221
497158.77999878 5419311.5 263.76000977
497158.75 5419313.0 265.79000854
497158.75 5419313.5 265.76998901
497158.77999878 5419314.0 265.76000977
497158.88000488 5419315.5 265.67001343
497159.41000366 5419315.5 265.70001221
497159.30999756 5419314.0 265.76000977
497159.27999878 5419313.5 265.76000977
497159.25 5419313.0 265.76998901
497159.27999878 5419312.5 265.22000122
497159.19000244 5419311.0 265.76000977
497159.16000366 5419310.5 265.72000122
497159.11999512 5419310.5 265.76998901
497159.11999512 5419310.0 265.79000854
497159.08999634 5419309.5 265.8500061
497159.05999756 5419309.0 265.8500061
497159.02999878 5419308.5 265.85998535
497159.02999878 5419308.0 265.91000366
497159.61999512 5419307.5 265.95001221
497159.66000366 5419308.0 265.92001343
497159.69000244 5419308.5 265.8500061
497159.72000122 5419309.0 265.82000732
497159.75 5419309.5 265.79000854
497159.75 5419310.0 265.76000977
497159.77999878 5419310.5 265.75
497159.80999756 5419311.0 265.70001221
497159.80999756 5419311.5 265.82000732
497159.94000244 5419313.5 265.76000977
497159.97000122 5419314.0 265.73001099
497160.05999756 5419316.0 265.72000122
497160.52999878 5419316.0 266.13000488
497160.52999878 5419315.5 265.70001221
497160.44000244 5419314.0 265.76000977
497160.44000244 5419313.5 265.75
497160.30999756 5419311.5 265.76000977
497160.30999756 5419311.0 265.70001221
497160.27999878 5419310.5 265.76000977
497160.25 5419310.0 265.76000977
497160.22000122 5419309.5 265.79998779
497160.22000122 5419309.0 265.79000854
497160.19000244 5419308.5 265.82000732
497160.16000366 5419308.0 265.85998535
497160.11999512 5419307.5 266.23001099
497160.77999878 5419307.5 266.14001465
497160.80999756 5419308.0 265.8500061
497160.83999634 5419308.5 265.82000732
497160.88000488 5419309.0 265.79998779
497160.88000488 5419309.5 265.79000854
497160.91000366 5419310.0 265.79000854
497160.94000244 5419310.5 265.75
497160.97000122 5419311.0 265.69000244
497160.97000122 5419311.0 265.73001099
497161.05999756 5419312.5 265.13000488
497161.08999634 5419313.5 265.75
497161.11999512 5419314.0 265.72000122
497161.22000122 5419316.0 265.69000244
497161.69000244 5419316.0 265.73001099
497161.69000244 5419315.5 265.70001221
497161.61999512 5419314.5 265.76000977
497161.58999634 5419314.0 265.75
497161.55999756 5419313.5 265.72000122
497161.52999878 5419313.0 265.82000732
497161.47000122 5419311.0 265.67001343
497161.44000244 5419310.5 265.73001099
497161.41000366 5419310.0 265.73001099
497161.41000366 5419310.0 265.76000977
497161.38000488 5419309.5 265.79000854
497161.33999634 5419309.0 265.82000732
497161.30999756 5419308.5 265.8500061
497161.30999756 5419308.0 265.98001099
497161.25 5419307.5 266.29000854
497161.94000244 5419308.0 265.8500061
497161.97000122 5419308.5 265.82000732
497161.97000122 5419309.0 265.82000732
497162.0 5419309.5 265.79000854
497162.02999878 5419309.5 265.76000977
497162.05999756 5419310.0 265.73001099
497162.05999756 5419310.5 265.73001099
497162.08999634 5419311.0 265.69000244
497162.11999512 5419311.5 265.72000122
497162.11999512 5419312.0 265.76000977
497162.16000366 5419312.5 265.76998901
497162.19000244 5419313.0 265.82000732
497162.22000122 5419313.5 265.73001099
497162.22000122 5419314.0 265.72000122
497162.25 5419314.5 265.73001099
497162.33999634 5419315.5 265.64001465
497162.33999634 5419316.0 265.67001343
497163.52999878 5419339.0 264.79998779
497163.55999756 5419339.5 264.79000854
497163.55999756 5419340.0 264.82000732
497163.58999634 5419340.5 264.82000732
497163.61999512 5419341.0 264.82000732
497163.66000366 5419341.5 264.79000854
497164.02999878 5419341.0 265.48001099
497164.02999878 5419340.5 264.82000732
497163.91000366 5419338.5 265.60998535
497163.83999634 5419337.5 266.07998657
497163.80999756 5419337.0 265.95001221
497163.77999878 5419336.5 266.32998657
497163.80999756 5419335.5 264.8500061
497163.77999878 5419335.0 264.82998657
497163.5 5419330.5 266.42001343
497163.47000122 5419330.0 266.60998535
497163.44000244 5419330.0 266.66000366
497163.47000122 5419329.5 265.57000732
497163.38000488 5419328.5 267.0
497163.41000366 5419328.0 265.6000061
497163.41000366 5419328.0 265.57998657
497163.30999756 5419327.5 266.57998657
497163.33999634 5419327.0 265.79000854
497163.33999634 5419326.5 265.57998657
497163.11999512 5419323.0 266.17001343
497163.11999512 5419322.5 266.26000977
497162.72000122 5419314.5 266.3500061
497162.72000122 5419314.0 265.72000122
497162.72000122 5419313.5 265.70001221
497162.69000244 5419313.0 265.70001221
497162.66000366 5419313.0 265.69000244
497162.66000366 5419312.5 265.66000366
497162.61999512 5419312.0 265.64001465
497162.58999634 5419311.5 265.69000244
497162.58999634 5419311.0 265.72000122
497162.55999756 5419310.5 265.75
497162.52999878 5419310.0 265.73001099
497162.52999878 5419309.5 265.76000977
497162.5 5419309.5 265.76998901
497162.47000122 5419309.0 265.79000854
497162.44000244 5419308.0 265.82000732
497163.08999634 5419308.5 265.76998901
497163.11999512 5419309.0 265.79000854
497163.16000366 5419309.5 265.76998901
497163.19000244 5419310.0 265.76000977
497163.30999756 5419313.0 265.67001343
497163.33999634 5419313.5 265.73001099
497163.33999634 5419314.0 265.72000122
497163.38000488 5419314.0 265.70001221
497163.33999634 5419315.0 267.41000366
497163.44000244 5419315.5 265.6000061
497163.44000244 5419316.5 267.07998657
497163.47000122 5419317.5 266.92001343
497163.47000122 5419317.5 267.39001465
497163.5 5419318.0 267.3500061
497163.58999634 5419318.5 266.1000061
497163.61999512 5419319.0 265.88000488
497163.61999512 5419319.5 266.38000488
497163.66000366 5419320.5 266.6000061
497163.66000366 5419321.0 266.64001465
497163.69000244 5419321.5 266.57000732
497163.75 5419323.0 267.04998779
497163.75 5419323.5 267.45001221
497163.77999878 5419324.0 267.32998657
497163.83999634 5419324.5 266.42001343
497163.88000488 5419325.0 266.45001221
497164.0 5419326.5 265.57000732
497163.97000122 5419327.0 266.54000854
497163.97000122 5419327.5 266.64001465
497164.05999756 5419328.0 265.54998779
497164.02999878 5419328.0 266.82000732
497164.02999878 5419328.5 266.92001343
497164.05999756 5419329.0 266.76000977
497164.16000366 5419329.5 265.67001343
497164.16000366 5419330.0 265.69000244
497164.19000244 5419330.5 265.8500061
497164.22000122 5419331.0 265.73001099
497164.22000122 5419332.0 266.14001465
497164.44000244 5419336.5 266.39001465
497164.47000122 5419336.5 266.3500061
497164.52999878 5419337.5 265.20001221
497164.52999878 5419337.5 265.95001221
497164.61999512 5419338.5 264.73001099
497164.61999512 5419338.5 264.70001221
497164.66000366 5419339.0 264.64001465
497164.69000244 5419339.5 264.63000488
497164.69000244 5419340.0 264.8500061
497164.72000122 5419340.5 264.8500061
497164.72000122 5419341.0 264.94000244
497164.75 5419341.5 264.89001465
497165.19000244 5419340.5 264.73001099
497165.16000366 5419340.0 264.8500061
497165.16000366 5419339.5 264.63000488
497165.11999512 5419339.0 264.67001343
497165.08999634 5419338.5 264.73001099
497165.08999634 5419338.0 264.73001099
497165.05999756 5419337.5 264.79000854
497165.02999878 5419337.0 264.8500061
497165.0 5419337.0 264.92001343
497165.0 5419336.5 264.98001099
497164.97000122 5419336.0 265.1000061
497164.94000244 5419335.5 265.1000061
497164.91000366 5419335.0 265.1000061
497164.91000366 5419334.5 265.07000732
497164.88000488 5419334.0 265.07000732
497164.83999634 5419334.0 265.07000732
497164.72000122 5419332.0 266.48001099
497164.69000244 5419331.0 265.94000244
497164.66000366 5419330.5 266.32000732
497164.69000244 5419330.5 265.1000061
497164.66000366 5419330.0 265.39001465
497164.61999512 5419329.5 265.79000854
497164.58999634 5419329.0 265.47000122
497164.58999634 5419328.5 265.26998901
497164.44000244 5419326.0 265.66000366
497164.44000244 5419325.5 265.70001221
497164.41000366 5419325.0 265.72000122
497164.30999756 5419324.0 266.92001343
497164.27999878 5419323.5 267.26000977
497164.25 5419323.0 267.38000488
497164.19000244 5419321.5 266.57000732
497164.19000244 5419321.0 266.6000061
497164.19000244 5419320.5 266.14001465
497164.11999512 5419319.5 266.20001221
497164.11999512 5419319.0 266.14001465
497164.08999634 5419319.0 266.1000061
497164.02999878 5419318.0 267.07000732
497164.0 5419318.0 267.3500061
497164.0 5419317.5 267.07998657
497163.94000244 5419316.5 267.45001221
497163.91000366 5419316.0 267.17001343
497163.97000122 5419315.5 265.6000061
497163.88000488 5419315.0 267.32998657
497163.91000366 5419314.5 265.69000244
497163.83999634 5419313.0 265.67001343
497163.80999756 5419312.5 265.60998535
497163.69000244 5419310.0 265.73001099
497163.66000366 5419309.5 265.75
497163.66000366 5419309.0 265.76000977
497163.61999512 5419308.5 265.79000854
497163.80999756 5419301.5 267.20001221
497164.27999878 5419309.0 265.85998535
497164.30999756 5419309.5 265.70001221
497164.30999756 5419310.0 265.76000977
497164.52999878 5419314.0 265.70001221
497164.5 5419315.0 267.42001343
497164.55999756 5419316.0 266.79000854
497164.55999756 5419316.5 267.32000732
497164.58999634 5419317.0 266.95001221
497164.61999512 5419317.5 266.76000977
497164.88000488 5419322.0 266.72000122
497164.88000488 5419322.5 266.76998901
497164.91000366 5419323.0 266.73001099
497164.91000366 5419323.0 267.14001465
497164.94000244 5419323.5 266.79000854
497164.97000122 5419324.0 266.8500061
497165.02999878 5419324.5 265.76000977
497165.08999634 5419326.0 266.14001465
497165.22000122 5419328.0 265.5
497165.27999878 5419329.0 265.26998901
497165.27999878 5419329.0 265.23001099
497165.30999756 5419329.5 265.07998657
